Snum,DNI,Nombre,Apellido Materno,Apellido Paterno,Fecha,Sexo,Clase,Domicilio Permanente,Telefono Permanente
S1001,521861420,María Luisa,Araceli,Vega,10/06/2005,M,5to semestre,Viaducto Arabia Saudita 216 Edif. 175 - Depto. 932,(695)036-3854x80667
S1002,912416442,Carlota,Ariadna,Nájera,10/07/2003,F,3er semestre,Privada Solano 707 144,1-850-823-4521x14858
S1003,777290831,Nicolás,Mitzy,Toledo,05/20/2005,F,1er semestre,Circunvalación Sonora 325 584,301-591-1557x61179
S1004,179253543,Eric,Armando,Vargas,12/17/2003,F,7mo semestre,Eje vial Correa 983 Interior 098,+08(7)4691764241
S1005,82002031,María,Fidel,Pantoja,11/07/1996,F,5to semestre,Corredor Lovato 924 Interior 283,1-892-806-1324
S1006,137616787,Carla,Octavio,Borrego,01/21/1997,M,3er semestre,Pasaje Castro 589 712,019.308.1976x12235
S1007,296816353,Ángela,Espartaco,Aguilera,09/05/1998,F,5to semestre,Corredor Martínez 952 Interior 789,258.458.5416
S1008,555203433,Esteban,Gabriela,Salazar,01/12/1995,F,5to semestre,Eje vial Veracruz de Ignacio de la Llave 694 Interior 889,1-504-167-2016x791
S1009,133767936,Roberto,Ana,Valencia,03/13/1999,F,1er semestre,Continuación Sur Armenta 560 Interior 466,+64(5)2120846250
S1010,309623581,Óscar,Lourdes,Estévez,12/05/2005,F,5to semestre,Calle Fuentes 606 Interior 272,1-124-477-4018
S1011,131790292,María,Patricio,Olmos,01/18/1995,M,1er semestre,Peatonal Marrero 022 Edif. 212 - Depto. 808,103.545.4598
S1012,60845126,Aurelio,Rodrigo,Arias,06/08/2001,M,5to semestre,Calzada Côte d'Ivoire 791 Interior 876,1-269-421-6148x9073
S1013,319678542,Ramiro,Alejandro,Alcaraz,10/27/2002,F,1er semestre,Eje vial Barajas 894 Interior 386,1-687-708-4151x97961
S1014,661794898,Aldonza,José Emilio,Barragán,10/05/1999,F,3er semestre,Avenida Sur del Río 747 Interior 900,1-584-050-6899x498
S1015,559149988,Pedro,Beatriz,Longoria,07/05/2004,F,3er semestre,Avenida Sur de la Crúz 444 Interior 315,485-030-3120x63533
S1016,504169559,Dolores,Abraham,Reyes,12/04/2006,F,7mo semestre,Avenida Ortiz 654 Edif. 445 - Depto. 235,964.942.4955x25282
S1017,828748077,Jorge,Natividad,Alemán,02/01/2001,M,1er semestre,Avenida Collado 957 Interior 947,086-049-7686x8322
S1018,617296547,Abraham,Zacarías,Anguiano,05/09/2007,F,3er semestre,Callejón Sur Negrete 946 447,458.172.4786
S1019,942739743,René,Ana María,Medina,07/08/2003,F,5to semestre,Pasaje Jalisco 963 Edif. 080 - Depto. 291,1-875-807-1294x257
S1020,694465568,Elena,Alfredo,Zedillo,06/03/1995,F,7mo semestre,Andador Norte Quiñones 354 Edif. 447 - Depto. 114,1-298-047-1825
